"Country";"Capture";"Aquaculture"
"Algeria";14;14
"Argentina";68;68
"Australia";33;33
"Bangladesh";5;5
"Brazil";61;61
"Cambodia";42;42
"Canada";2;2
"Chile";45;45
"Colombia";12;12
"Congo, Democratic Republic of the";31;31
"Denmark";66;66
"Ecuador";49;49
"Egypt";41;41
"France";59;59
"Germany";36;36
"Ghana";43;43
"Greece";67;67
"Hong Kong";23;23
"Iceland";7;7
"India";39;39
"Indonesia";46;46
"Iran";50;50
"Ireland";35;35
"Italy";37;37
"Japan";44;44
"Kenya";17;17
"Latvia";19;19
"Lithuania";16;16
"Madagascar";15;15
"Malaysia";3;3
"Mexico";4;4
"Morocco";69;69
"Myanmar";8;8
"Namibia";58;58
"Netherlands";57;57
"New Zealand";56;56
"Nigeria";55;55
"North Korea";28;28
"Norway";26;26
"Oman";18;18
"Other";65;65
"Pakistan";53;53
"Panama";30;30
"People's Republic of China";24;24
"Peru";64;64
"Philippines";25;25
"Poland";21;21
"Portugal";29;29
"Russian Federation";38;38
"Senegal";48;48
"Seychelles";10;10
"South Africa";62;62
"South Korea";6;6
"Spain";63;63
"Sri Lanka";22;22
"Sweden";34;34
"Taiwan (Republic of China)";1;1
"Tanzania";40;40
"Thailand";27;27
"Tunisia";11;11
"Turkey";52;52
"Uganda";51;51
"UK";60;60
"Ukraine";32;32
"Uruguay";13;13
"USA";47;47
"Vanuatu";20;20
"Venezuela";54;54
"Vietnam";9;9
